date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:31:11	5417/5417	---M-Z	200	added ('OK')	application/javascript	etag:W/%22676a72e6-1529%22	https://themewagon.github.io/Kelly/assets/vendor/purecounter/purecounter_vanilla.js	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/vendor/purecounter/purecounter_vanilla.js	(from https://themewagon.github.io/Kelly/index.html)
18:31:12	151102/151102	---M-Z	200	added ('OK')	application/javascript	etag:W/%22676a72e6-24e3e%22	https://themewagon.github.io/Kelly/assets/vendor/swiper/swiper-bundle.min.js	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/vendor/swiper/swiper-bundle.min.js	(from https://themewagon.github.io/Kelly/index.html)
18:31:12	56300/56300	---M-Z	200	added ('OK')	application/javascript	etag:W/%22676a72e6-dbec%22	https://themewagon.github.io/Kelly/assets/vendor/glightbox/js/glightbox.min.js	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/vendor/glightbox/js/glightbox.min.js	(from https://themewagon.github.io/Kelly/index.html)
18:31:12	5485/5485	---M-Z	200	added ('OK')	application/javascript	etag:W/%22676a72e6-156d%22	https://themewagon.github.io/Kelly/assets/vendor/imagesloaded/imagesloaded.pkgd.min.js	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/vendor/imagesloaded/imagesloaded.pkgd.min.js	(from https://themewagon.github.io/Kelly/index.html)
18:31:13	35445/35445	---M-Z	200	added ('OK')	application/javascript	etag:W/%22676a72e6-8a75%22	https://themewagon.github.io/Kelly/assets/vendor/isotope-layout/isotope.pkgd.min.js	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/vendor/isotope-layout/isotope.pkgd.min.js	(from https://themewagon.github.io/Kelly/index.html)
18:31:13	5153/5153	---M-Z	200	added ('OK')	application/javascript	etag:W/%22676a72e6-1421%22	https://themewagon.github.io/Kelly/assets/js/main.js	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/js/main.js	(from https://themewagon.github.io/Kelly/index.html)
18:31:14	130396/130396	---M--	200	added ('OK')	font/woff2	etag:%22676a72e6-1fd5c%22	https://themewagon.github.io/Kelly/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?dd67030699838ea613ee6dbda90effa6	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/vendor/bootstrap-icons/fonts/bootstrap-icons0107.woff2	(from https://themewagon.github.io/Kelly/assets/vendor/bootstrap-icons/bootstrap-icons.css)
18:31:14	176032/176032	---M--	200	added ('OK')	font/woff	etag:%22676a72e6-2afa0%22	https://themewagon.github.io/Kelly/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff?dd67030699838ea613ee6dbda90effa6	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/vendor/bootstrap-icons/fonts/bootstrap-icons0107.woff	(from https://themewagon.github.io/Kelly/assets/vendor/bootstrap-icons/bootstrap-icons.css)
18:31:14	41647/41647	---M--	200	added ('OK')	image/jpeg	etag:%22676a72e6-a2af%22	https://themewagon.github.io/Kelly/assets/img/profile-img.jpg	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/img/profile-img.jpg	(from https://themewagon.github.io/Kelly/about.html)
18:31:15	39727/39727	---M--	200	added ('OK')	image/jpeg	etag:%22676a72e6-9b2f%22	https://themewagon.github.io/Kelly/assets/img/testimonials/testimonials-1.jpg	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/img/testimonials/testimonials-1.jpg	(from https://themewagon.github.io/Kelly/about.html)
18:31:15	57584/57584	---M--	200	added ('OK')	image/jpeg	etag:%22676a72e6-e0f0%22	https://themewagon.github.io/Kelly/assets/img/testimonials/testimonials-2.jpg	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/img/testimonials/testimonials-2.jpg	(from https://themewagon.github.io/Kelly/about.html)
18:31:15	17247/17247	---M--	200	added ('OK')	image/jpeg	etag:%22676a72e6-435f%22	https://themewagon.github.io/Kelly/assets/img/testimonials/testimonials-3.jpg	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/img/testimonials/testimonials-3.jpg	(from https://themewagon.github.io/Kelly/about.html)
18:31:16	20220/20220	---M--	200	added ('OK')	image/jpeg	etag:%22676a72e6-4efc%22	https://themewagon.github.io/Kelly/assets/img/testimonials/testimonials-4.jpg	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/img/testimonials/testimonials-4.jpg	(from https://themewagon.github.io/Kelly/about.html)
18:31:16	22595/22595	---M--	200	added ('OK')	image/jpeg	etag:%22676a72e6-5843%22	https://themewagon.github.io/Kelly/assets/img/testimonials/testimonials-5.jpg	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/img/testimonials/testimonials-5.jpg	(from https://themewagon.github.io/Kelly/about.html)
18:31:16	25343/25343	---M--	200	added ('OK')	image/jpeg	etag:%22676a72e6-62ff%22	https://themewagon.github.io/Kelly/assets/img/masonry-portfolio/masonry-portfolio-1.jpg	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/img/masonry-portfolio/masonry-portfolio-1.jpg	(from https://themewagon.github.io/Kelly/portfolio.html)
18:31:17	9084/9084	---M-Z	200	added ('OK')	text/html	etag:W/%22676a72e6-237c%22	https://themewagon.github.io/Kelly/portfolio-details.html	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/portfolio-details.html	(from https://themewagon.github.io/Kelly/portfolio.html)
